Lough,RepresentativeMonitoringPoints,SampleDate,Species,Category,EColi,CurrentStatus,Comments
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-01-06,Mussels,B,450,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-02-02,Mussels,C,7000,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-03-02,Mussels,B,2300,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-04-07,Mussels,C,11000,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-05-04,Mussels,A,68,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-06-01,Mussels,B,780,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-07-06,Mussels,C,11000,Open,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2020-08-03,Mussels,A,78,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-01-20,Mussels,B,3300,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-02-17,Mussels,C,4900,Open,Outwith investigatory email sent 20/02/2020
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-03-16,Mussels,B,450,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-04-19,Mussels,A,20,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-05-18,Mussels,A,20,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-06-15,Mussels,A,<18,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-07-20,Mussels,A,<18,Open,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2020-08-17,Mussels,B,330,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-01-06,Mussels,B,2300,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-02-02,Mussels,B,1300,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-03-02,Mussels,C,4900,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-04-07,Mussels,B,2300,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-05-04,Mussels,B,3300,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-06-01,Mussels,A,<18 ,Open,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2020-07-06,Mussels,A,220,Open,
