Lough,RepresentativeMonitoringPoints,SampleDate,Species,Category,EColi,CurrentStatus,Comments
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2021-01-10,Mussels,B,1700,OPEN ,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",2021-02-10,Mussels,C,7900,OPEN,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2021-01-19,Mussels,B,2200,OPEN ,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",2021-02-15,Mussels,C,4900,OPEN,Outwith email issued 17/02/21
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2021-01-10,Mussels,B,490,OPEN ,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,2021-02-10,Mussels,C,"24,000",OPEN,
Belfast,RMP4 - B12 - AFFNI54 - represents B14 AFFNI9,2021-01-19,Mussels,B,2200,OPEN ,
Belfast,RMP4 - B12 - AFFNI54 - represents B14 AFFNI9,2021-02-15,Mussels,B,1700,OPEN,
Belfast,RMP5 - B20 - AFFNI53,2021-01-10,Mussels,B,330,OPEN ,
Belfast,RMP5 - B20 - AFFNI53,2021-02-10,Mussels,B,1300,OPEN,
Belfast,RMP6 - B24 - AFFNI56B,,Mussels,,,OPEN ,Dormant as of 01/01/2021
Belfast,RMP6 - B24 - AFFNI56B,2021-02-15,Mussels,Dormant,1700,DORMANT,Quarterly Microbiological Sample
Carlingford,NARROW WATER  Production Area 1 (NW Wild Fishery) - ,2021-01-05,Mussels,B,2300,OPEN ,
Carlingford,NARROW WATER  Production Area 1 (NW Wild Fishery) - ,2021-02-02,Mussels,C,4900,OPEN,
Carlingford,NARROW WATER  Production Area 1 (NW Wild Fishery) - ,2021-03-01,Mussels,B,2600,OPEN,
Carlingford," Production Area 2 - C1 - AFFNI 27 - represents C2 AFFNI74, C3 AFFNI98 and C4 AFFNI68",2021-01-05,Mussels,A,220,OPEN ,
Carlingford," Production Area 2 - C1 - AFFNI 27 - represents C2 AFFNI74, C3 AFFNI98 and C4 AFFNI68",2021-02-02,Mussels,C,"13,000",OPEN,Outwith email issued 05/02/21
Carlingford," Production Area 2 - C1 - AFFNI 27 - represents C2 AFFNI74, C3 AFFNI98 and C4 AFFNI68",2021-03-01,Mussels,A,110,OPEN,
Carlingford," Production Area 4 C7 - AFFNI 73 - represents C9 AFFNI39, C15 AFFNI89 and C17 AFFNI92",2021-01-11,Oysters,A,130,OPEN ,
Carlingford," Production Area 4 C7 - AFFNI 73 - represents C9 AFFNI39, C15 AFFNI89 and C17 AFFNI92",2021-02-16,Oysters,A,40,OPEN,
