Lough,RepresentativeMonitoringPoints,SampleDate,Species,Category,EColi,CurrentStatus,Comments
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15 and B5 AFFNI96",,Mussels,,,OPEN ,
Belfast,"RMP2 - B6 - AFFNI56A - represents B10 AFFNI28, B7 AFFNI60A and B11 AFFNI97",,Mussels,,,OPEN ,
Belfast,RMP3 - B3 - AFFNI50 - represents B8 AFFNI37 and B9 AFFNI85,,Mussels,,,OPEN ,
Belfast,RMP4 - B12 - AFFNI54 - represents B14 AFFNI9,,Mussels,,,OPEN ,
Belfast,RMP5 - B20 - AFFNI53,,Mussels,,,OPEN ,
Belfast,RMP6 - B24 - AFFNI56B,,Mussels,,,OPEN ,
Carlingford,NARROW WATER  Production Area 1 (NW Wild Fishery) - ,2021-01-05,Mussels,B,2300,OPEN ,
Carlingford," Production Area 2 - C1 - AFFNI 27 - represents C2 AFFNI74, C3 AFFNI98 and C4 AFFNI68",2021-01-05,Mussels,A,220,OPEN ,
Carlingford," Production Area 4 C7 - AFFNI 73 - represents C9 AFFNI39, C15 AFFNI89 and C17 AFFNI92",,Oysters,,,OPEN ,
Carlingford,Production Area 6  C11 - AFFNI 84,2021-01-05,Oysters,A,45,OPEN ,
Dundrum Bay,DB1 - AFFNI95A,,Oysters,,,OPEN ,
Dundrum Bay,DB2 - AFFNI95B,,Mussels,,,OPEN ,
Dundrum Bay,DB1 - AFFNI95A,,Mussels,,,OPEN ,
Larne Lough,RMP 1 - L3 - AFFNI88,2021-01-06,Oysters,A,<18,OPEN,
Killough,K1 AFFNI18,,Oysters,,,OPEN,
Lough Foyle,Production Area 3 ,,Mussels (represents oysters in the fishery),,,OPEN ,
Lough Foyle,Production Area 4 ,,Mussels (represents oysters in the fishery),,,OPEN ,
Strangford Lough,S2 - AFFNI42,2021-01-04,Mussels,A,<18,OPEN ,
Strangford Lough,S7 - AFFNI76 - represents S6 AFFNI93,2021-01-05,Oysters,A,220,OPEN ,
